FinalID,LifeStageCode,TaxonomicLevelCode,TaxonomicLevelName,Phylum,Class,Order,Family,Subfamily,Tribe,Genus,Species,FunctionalFeedingGroup,ToleranceValue,Subphylum,Superclass,Subclass,Superorder,Suborder,Superfamily,GenusComplex,SpeciesComplex,Subspecies,SAFIT1,SAFIT2,SAFIT1__OTU_a_original,SAFIT1__OTU_a,OTU_Justification,Required_work,Notes
Abedus breviceps,A,60,Species,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,Abedus breviceps,P,8,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Abedus breviceps,L,60,Species,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,Abedus breviceps,P,NA,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Abedus herberti,A,60,Species,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,Abedus herberti,P,8,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Abedus herberti,L,60,Species,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,Abedus herberti,P,NA,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Abedus indentatus,A,60,Species,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,Abedus indentatus,P,8,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Abedus indentatus,L,60,Species,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,Abedus indentatus,P,8,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Abedus ovatus,A,60,Species,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,Abedus ovatus,P,8,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Abedus ovatus,L,60,Species,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,Abedus ovatus,P,NA,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Abedus parkeri,A,60,Species,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,Abedus parkeri,P,8,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Abedus parkeri,L,60,Species,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,Abedus parkeri,P,NA,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Abedus vicinus,A,60,Species,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,Abedus vicinus,P,8,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Abedus vicinus,L,60,Species,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,Abedus vicinus,P,NA,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Abedus,A,50,Genus,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,,P,8,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Abedus,L,50,Genus,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Abedus,,P,8,Hexapoda,NA,,,,NA,,,,Abedus,Abedus,Abedus,Abedus,,,
Ablabesmyia annulata,A,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia annulata,,NA,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,
Ablabesmyia annulata,L,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia annulata,OM,8,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,
