StationCode,County,COMID,CALWNUM,PSARegion,PSA9c_1987,PSA6c,PSA9c,PSA10c,Eco_III_1987,Eco_III_2010,New_Lat,New_Long,ELEV_RANGE,BDH_AVE,PPT_00_09,LPREM_mean,KFCT_AVE,TEMP_00_09,P_MEAN,N_MEAN,PRMH_AVE,AREA_SQKM,SITE_ELEV,MgO_Mean,S_Mean,SumAve_P,CaO_Mean,FlowStatus,Ag_2000_1K,Ag_2000_5K,Ag_2000_WS,CODE_21_2000_1K,CODE_21_2000_5K,CODE_21_2000_WS,URBAN_2000_1K,URBAN_2000_5K,URBAN_2000_WS,RoadDens_1K,RoadDens_5K,RoadDens_WS,PAVED_INT_1K,PAVED_INT_5K,PAVED_INT_WS,PerManMade_WS,InvDamDist,MINES_5K,MINES_WS,GravelMineDensL_R5K,MaxOfCOND,MaxOfW1_HALL,BPJ_Nonref,Active,UCS_Mean,AtmCa,AtmMg,AtmSO4,MINP_WS,MEANP_WS,TMAX_WS,XWD_WS,MAXWD_WS,LST32AVE,PCT_CENOZ,PCT_NOSED,PCT_QUART,PCT_SEDIM,PCT_VOLCNC,MAFLOWU,MAX_ELEV,NHD_SO,FinalCaty5,final_wgt5,LogWSA,Invasives,W1_Hall_screening,CondQR01,CondQR50,CondQR99,CondQR99c,SiteStatus,W1Hall.PF,Cond.PF,Ag.PF,Urb.PF,AgUrb.PF,Cd21.PF,RoadDens.PF,Intersections.PF,Dams.PF,ManMade.PF,Mines.PF,RegionalStrata,DevelopmentSet,SiteSet,Log_P_MEAN,Log_N_MEAN,SiteWgt,Survey,BioticGroup,E,Enull,BC.null,GroupGroup,CaO_Mean.r,MgO_Mean.r,S_Mean.r,UCS_Mean.r,LPREM_mean.r,MINP_WS.r,MEANP_WS.r,SumAve_P.r,TMAX_WS.r,XWD_WS.r,MAXWD_WS.r,LST32AVE.r,BDH_AVE.r,KFCT_AVE.r,PRMH_AVE.r,ELEV_RANGE.r,MAX_ELEV.r,Log_N_MEAN.r,Log_P_MEAN.r,PCT_CENOZ.r,PCT_NOSED.r,PCT_QUART.r,PCT_SEDIM.r,PCT_VOLCNC.r,PPT_00_09.r,TEMP_00_09.r,LogWSA.r,CondQR50.r,Nat.PC1,Nat.PC2,Nat.PC3,Nat.PC4,Nat.PC5,Nat.PC6,Nat.PC7,Nat.PC8,Nat.PC9,Nat.PC10,Nat.PC11,Nat.PC12,Nat.PC13,Nat.PC14,Nat.PC15,Nat.PC16,Nat.PC17,Nat.PC18,Nat.PC19,Nat.PC20,Nat.PC21,Nat.PC22,Nat.PC23,Nat.PC24,Nat.PC25,Nat.PC26,Nat.PC27,Nat.PC28
101WE1111,Del Norte,23949493,1101.000001,North_Coast,NC,NC,NC,NC,1,1,41.99152758,-124.1821062,530.5,1.363,186165.2031,-0.7615,0.271,1711.800049,0.1172,0.0604,1.228,23.527246,13.5,2.95,0.0562,7902.145,3.2378,Perennial,0.4336,0.0479,0.0306,1.8428,4.4998,5.1159,0,0,0,5.121869674,4.90375439,4.719546024,0,3,5,0,0,0,0,0,65,0.545454546,FALSE,TRUE,99.663,0.0331,0.0179,0.1543,11.4286,2349.0894,259.3929,128.5616,18,67.2466,0,0,0,100,0,55.18156,544,2,NA,NA,1.371571093,Not detected,0.545454546,20,75,226,226,Stressed,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,NC,Validation,StressVal,-0.930701988,-1.218891164,32.0995762,EMAP,NA,17.8391122,10.67230444,0.252198814,NA,-1.788878839,-2.113060826,0.00398147,6.576731517,-0.598756915,5.973187141,944.0195532,4499.574486,-40.60558394,33.70797642,4.245150619,-32.4187108,-0.028018393,0.053694632,0.099044386,-551.35273,-551.3556743,0.072786392,-0.104678366,-10.98194925,11.93216895,-2.500111671,27.40019719,-38.01911273,72789.49017,-365.5360152,-0.624319059,-55.03669577,-3.803863514,-4.517079898,4.159099298,2.517498993,1.607992449,-0.283126106,0.816321996,0.682233388,1.453812513,0.359959982,1.665397978,-0.245323163,-0.130179271,-0.202336499,-0.186338926,-0.39695062,-1.252017744,-0.173270702,1.517406655,-0.076295972,-0.843489245,-0.391818623,0.121600172,-0.068966938,-0.268787595,0.002538821,0.041578954,-1.38E-05
102PS0139,Siskiyou,23936337,1102.300102,North_Coast,NC,NC,NC,NC,78,78,41.99594814,-122.9597016,1114.689941,1.5466,101608.1016,-0.7774,0.1791,1183.400024,0.1545,0.0293,3.2189,37.812269,1144.310059,9.7105,0.1035,7306.6675,5.2636,Perennial,0,0,0,0.9408,2.7416,2.9345,0,0.1498,0.3546,1.630629253,2.122201611,2.179049013,0,1,1,0,0,1,1,0,NA,NA,FALSE,TRUE,88.8117,0.0312,0.0087,0.1205,13.0851,1295.314,212.7234,126.8462,17.735,153.6281,0,0,0,100,0,38.28728,2259,3,NA,NA,1.577632739,Not detected,0,20,92,249,249,Intermediate,Missing,Missing,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,NC,Other,Other,-0.81079051,-1.532984182,35.02671908,PSA,NA,15.46438713,10.67230444,0.235586772,NA,0.781648125,5.512616187,0.157512348,-25.24801158,-0.20664972,2.866786404,-153.6649833,2597.444649,-45.5119017,24.51228747,3.420247999,-0.368855422,0.21528112,0.015991336,-2.016887845,58.80796639,58.80724278,-0.070339942,-0.060908898,4.506493056,-16.37587798,0.04851809,60.64078217,-44.62304048,-12068.75386,-450.8001555,-0.077028005,88.28724234,-0.849946182,-1.527980952,2.575218589,1.71175471,3.107019545,-2.043256312,-0.371594846,0.337398026,0.512437837,-0.933819433,0.952158093,-3.081427392,-0.560907436,-0.162982743,0.697312329,-0.242795748,1.285611886,0.397904078,-0.291113102,0.092849938,-1.124854305,-0.055456334,-1.124674173,0.383413402,0.22696566,0.172307198,0.027777407,-4.01E-06
103FCA168,Del Norte,22226990,1103.500001,North_Coast,NC,NC,NC,NC,1,1,41.64961914,-124.0911796,639.9599991,1.365,199967.9063,-0.6753,0.211,1663.400024,0.1154,0.0589,1.173,16.063529,56.04000092,3.0047,0.0572,7502.186,3.3631,Perennial,0,0,0,9.4173,5.5851,5.8009,0,0,0,3.869171232,2.503227169,2.609638577,2,5,5,0,0,0,0,0,NA,NA,FALSE,TRUE,101.7499,0.0326,0.016,0.1479,9.8,2357.6758,242.1,119.6,16.44,78.451,0,15.02036106,0,84.97946069,0,46.1373,696,2,NA,NA,1.205840962,Not detected,0,17,68,220,220,Intermediate,Missing,Missing,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,NC,Other,Other,-0.937418016,-1.229810977,62.43578887,NRSA,NA,19.07408076,10.67230444,0.244366403,NA,-1.78193114,-2.058908021,-0.032495967,9.368171197,-0.475685013,4.621970358,965.680871,4292.639063,-54.61138929,26.50556023,2.8301739,-19.21091378,-0.032644651,-0.006627686,-0.142867812,-401.5403877,-401.5426215,0.072858789,-0.096916118,-13.41028723,25.63614982,-1.999245045,9.450544556,-34.18633486,87088.80215,-393.5343781,-0.727160122,-79.04608659,-4.294837573,-3.810718894,3.7619353,2.317861803,1.352493945,-0.243686521,0.618002037,0.239858448,0.708281537,0.585322967,1.426477894,0.716800722,-0.911133859,-0.914234965,-0.143698861,-1.005736772,-0.421756312,-0.600527652,1.142168253,-0.311883622,-0.68670859,-0.331744854,0.093746255,0.186065611,-0.261614673,-0.103371997,0.024063352,-1.38E-05
103FS0404,Del Norte,22227592,1103.300503,North_Coast,NC,NC,NC,NC,78,78,41.85545639,-123.852148,899.8500061,1.3833,197466.0938,-1.4364,0.1936,1914.800049,0.0745,0.0015,1.359,7.902904,315.1499939,32.062,0.141,8407.6836,1.4683,Perennial,0,0,0,0,0.7055,0.7055,0,0,0,0,0.073315459,0.073315459,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,99.5166,0.0324,0.0143,0.1416,10.375,2534.4211,267.125,141.88,19.16,106.1538,0,100,0,0,0,21.00934,1215,2,NA,NA,0.897786706,Not detected,0,20,87,220,220,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Validation,RefVal,-1.127261173,-2.821023053,NA,NA,NA,20.86953603,10.67230444,0.249243976,NA,-3.475761583,27.20764423,0.098479602,1.544968697,-1.156824914,3.846155254,1121.952419,4761.905558,-20.86129598,45.81177845,5.311603882,-6.236046946,0.004594816,-0.010254108,-0.872844697,-156.0987217,-156.1007826,-1.481371089,-0.313497758,-8.163415974,104.4132847,-1.600941766,-65.76828697,-37.9686877,84022.67441,-41.23668789,-0.983315947,-18.51171225,-6.714939442,-5.299452531,2.420390762,-1.25432067,4.516305353,0.033766397,-6.364475372,-1.882223847,1.967492681,3.406783786,2.229803111,-1.248876242,0.262298557,-0.925261258,0.981113156,1.723146365,2.619836404,2.715116609,0.109426617,0.033656974,-0.43859871,-0.210876534,-0.616811416,-0.045527329,-0.41697387,-0.39481898,0.021651779,-1.67E-05
103FS0405,Del Norte,22226836,1103.110005,North_Coast,NC,NC,NC,NC,1,1,41.78889527,-124.0778375,441.7799988,1.3647,194059,-0.5997,0.211,1694.199951,0.1222,0.0497,1.173,4.610277,37.22000122,4.7082,0.1116,7215.1831,3.6608,Perennial,0,0,0,2.3155,1.4236,1.4236,0,0,0,0.60924717,0.394192121,0.394192121,1,1,1,0,0,0,0,0,NA,NA,FALSE,TRUE,93.5551,0.0327,0.0162,0.1485,9.8333,2473,252.8333,123.2857,17,75.6429,0,3.223233428,0,96.77508924,0,6.97382,479,1,NA,NA,0.66372702,Not detected,0,18.795,68,232,232,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal,-0.912573543,-1.303556237,NA,NA,1,22.48642616,10.67230444,0.198713941,Groups 1 to 3,-1.411088696,-0.323978434,0.044373104,0.50938941,-0.413285649,4.497449818,1081.59328,3898.683503,-45.94471165,29.62379885,3.371603462,-23.29547504,-0.030132208,-0.006352397,-0.082020648,-627.8633094,-627.8659807,-0.007566452,-0.081882496,-12.05586053,13.92286499,-2.415305961,23.71270386,-36.3800802,81680.12222,-377.4809555,-1.30885896,-70.66292451,-3.880635832,-4.723756166,3.887440148,2.212675874,1.540865975,0.057432414,0.461192164,-0.003078187,0.673903946,0.543354865,0.901672175,0.488996242,-0.805531159,-0.912337844,0.008072346,-0.645315192,-0.339358049,-0.316974239,0.625925554,-0.186341785,-0.895954741,-0.185018799,-0.009445414,-0.274736972,-0.228280779,-0.147865977,0.023171356,-1.24E-05
103FS0411,Del Norte,4439890,1105.110506,North_Coast,NC,NC,NC,NC,78,78,41.5317445,-123.8284506,1159.980011,1.4302,218500,-1.5312,0.202,1828.300049,0.0911,0.0208,2.107,28.328365,408.019989,19.1647,0.1145,10044.3828,1.0363,Perennial,0,0,0,1.0847,1.9913,2.6532,0,0,0,0,0.165892857,0.357742501,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,103.5713,0.0325,0.0136,0.1402,19.2286,3174.446,287.4286,142.1264,19.1839,112.5114,0,0,0,100,0,41.75309,1568,3,NA,NA,1.45222151,Not detected,0,23,89,248.6,248.6,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Validation,RefVal,-1.040005162,-1.68172792,NA,NA,NA,16.80312023,10.67230444,0.259357742,NA,-4.053397855,14.2758431,0.024570328,6.220318257,-1.203134127,12.85835398,1758.888288,6589.647458,6.040615254,47.05748594,5.355639639,0.714093341,0.047552466,-0.000134185,-0.445334197,170.2391016,170.2381501,-0.319179782,-0.206858761,-10.6285508,2.973598533,-0.529285158,29.98058182,-33.17392614,103902.4095,-74.38550148,-0.322432985,-30.4712424,-6.897546485,-4.394193219,5.957325757,-0.339426202,4.479382094,1.167352422,-2.908237363,-0.582613249,4.274588643,0.06831061,2.114251345,-0.378659899,-0.181005784,-1.013997452,1.572656469,0.522808692,0.220475525,1.14576794,0.408012035,0.919047394,-0.675501037,-0.392647881,0.592887701,-0.812165143,-0.329630991,-0.187982149,-0.005072044,-3.08E-05
103RDCBCC,Del Norte,22226612,1103.120001,North_Coast,NC,NC,NC,NC,1,1,41.95480952,-124.0625024,700,1.368033333,205763.2031,-0.918666667,0.246733333,1685.300049,0.1033,0.046166667,1.261,33.77259915,82.93000031,10.96143333,0.080433333,7702.592433,2.7269,Perennial,0,0,0,0,1.2665,1.6154,0,0.1341,0.1839,1.465859773,0.878068923,1.026659951,0,0,0,0,0,1,1,0,NA,NA,FALSE,TRUE,99.43013333,0.0329,0.0329,0.150533333,10.31616667,2685.377767,257.3421667,126.2508,17.80106667,78.98796667,0,100,0,0,0,75.00259,783,3,NA,NA,1.528564485,Not detected,0,21,81,258,258,Intermediate,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,NC,Other,Other,-0.985479461,-1.335577417,NA,NA,NA,17.79659209,10.67230444,0.187996785,NA,-2.261768392,5.972607229,0.035857238,4.90875199,-0.726745529,4.578678046,1283.675153,4223.048444,-40.41994459,31.26489706,4.060157915,-23.9816627,-0.020132532,0.032664694,-0.139422116,-384.9092839,-384.8421352,-0.034418611,-0.165319124,-10.0621999,109.7930698,-2.459125255,-70.0053811,-38.47267089,92959.9091,-368.891453,-0.451280237,-42.3966018,-5.518140392,-4.255180623,2.953768613,1.757962435,1.991211711,-0.110056947,-1.065775319,-0.275284218,1.382295138,3.608228125,3.010729114,0.123765553,-0.126167312,-0.384316146,0.114119878,-0.383421152,0.384848868,0.322461378,1.020978344,-0.33035075,-0.353442142,-0.240909141,0.348332584,-0.448648691,-0.262678886,0.016323697,0.04325994,5.26E-05
103WE0585,Del Norte,22227602,1103.300503,North_Coast,NC,NC,NC,NC,78,78,41.85230431,-123.8977554,1735.470001,1.4326,224726.4063,-1.1451,0.2069,1728.599976,0.141,0.0358,1.8982,315.804281,171.5299988,10.3517,0.0754,7476.7437,3.1802,Perennial,0,0,0,6.6033,2.8369,4.0255,3.3281,0.9428,0.1872,1.281601727,0.615665799,0.905296261,0,4,31,0,0,0,3,0,NA,NA,FALSE,TRUE,120.7348,0.0323,0.0138,0.1397,10.592,2392.3157,281.2507,136.3242,18.4316,117.3947,0,63.86655023,0,36.133424,0,734.75947,1907,4,NA,NA,2.499418013,Not detected,0,26,92,244.7933333,244.7933333,Intermediate,Missing,Missing,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Other,Other,-0.850472986,-1.445995679,16.7142719,EMAP,NA,15.44958245,10.67230444,0.22270998,NA,-1.780178258,5.455213195,0.03450853,24.58761067,-0.912225144,4.564100033,997.8474683,3935.592579,-13.4406039,41.51434407,4.73917829,10.81763,0.04664868,-0.00340242,0.144169072,651.9864538,651.9838107,-0.132178704,-0.035344681,-9.34266932,70.84370218,-2.360237526,-31.11932138,-38.4468188,112801.151,-295.9908078,0.546941408,-26.31344744,-6.451209205,-1.901094989,3.849920087,0.234108281,2.46750644,0.760950341,-0.366634241,0.143469862,0.934598434,1.790661865,2.748290619,-0.752232848,-0.104043697,0.092207657,0.969563241,-0.361799438,0.659196002,0.543223605,0.336423018,-0.100758136,-0.307364066,0.233577103,0.16534061,0.795294297,-0.292398429,-0.420055069,0.021631387,-1.59E-05
103WE0817,Del Norte,22226782,1103.110001,North_Coast,NC,NC,NC,NC,1,1,41.82598252,-124.1153448,1903.61,1.4169,183068.4063,-1.2332,0.2038,1610.199951,0.1205,0.028,1.7656,1703.787961,13.39000034,14.3173,0.0914,8527.7578,2.5204,Perennial,0,0.5844,0.0095,6.3028,6.1721,3.0318,0.3376,0.1169,0.1658,1.798454437,1.203230455,0.857783301,0,5,112,0,0,0,35,0,130.5,NA,FALSE,TRUE,114.2385,0.0325,0.0147,0.1432,14.2498,2806.0056,273.4314,137.7083,18.7329,103.219,0,49.81520116,0,50.18479527,0,3901.63773,1917,5,NA,NA,3.231415545,Detected,0,24,89,237.94,237.94,Intermediate,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NC,Other,Other,-0.918652692,-1.552686891,31.1729828,EMAP,NA,15.32751448,10.67230444,0.258539579,NA,-2.551261944,9.266217061,0.025473234,21.52584098,-1.058034268,8.971441243,1413.150547,5216.436528,-26.3244549,43.963854,5.093001512,5.055883562,0.021748719,-0.014466304,0.603380843,830.6799921,830.6772247,-0.260534748,-0.087712374,-12.10588264,61.20334648,-2.485492198,-23.2976395,-36.599887,70547.99554,-470.4525904,1.24798241,-50.17361225,-7.405665975,-1.627780403,5.088459269,0.543258893,3.266158905,-0.785649164,-1.574081179,0.120368644,1.736420708,1.38130965,3.034827184,-0.719814636,0.019127117,0.189582861,1.735711101,0.025512268,0.839402221,0.35562313,0.685781796,0.028278324,-0.623370407,-0.51890679,0.255179451,-0.934687997,-0.153074313,-0.207255034,0.02729808,-2.35E-05
103WE1072,Del Norte,22226752,1103.300501,North_Coast,NC,NC,NC,NC,78,78,41.84384886,-124.0027972,1826.589996,1.4163,205744.2969,-1.2718,0.2007,1705.099976,0.112,0.024,1.7009,759.120603,80.41000366,18.1701,0.0953,8574.0371,2.6875,Perennial,0,0,0,12.5745,5.5789,2.5603,3.1978,1.5514,0.2703,2.606969032,1.196323034,0.648219478,0,3,40,0,0,1,8,0,117.8,NA,FALSE,TRUE,114.6613,0.0326,0.0151,0.1444,14.2386,2787.6125,276.3562,139.4448,18.8631,106.4566,0,82.85741391,0,17.14258571,0,1755.50911,1907,5,NA,NA,2.880310779,Not detected,0,25,91,241.5672727,241.5672727,Intermediate,Missing,Pass,Pass,Fail,Pass,Fail,Fail,Pass,Pass,Pass,Fail,NC,Other,Other,-0.950394387,-1.61960784,31.1729828,EMAP,NA,15.93715812,10.67230444,0.228273032,NA,-2.323810964,13.19838271,0.043792608,20.29868531,-1.071637366,8.612776417,1396.174467,5148.303813,-21.56135619,45.26563873,5.213910217,4.431179917,0.025300008,-0.014056974,0.280056633,743.653087,743.6503012,-0.319170133,-0.128132959,-10.71841492,92.18128991,-2.525493938,-53.0802837,-37.72427251,93752.63207,-354.2541904,0.90350023,-38.24485181,-7.760775085,-2.176928744,4.584460202,0.046190534,3.559082547,-0.304164612,-2.47637006,-0.442246533,1.995591599,2.59500679,3.228772249,-0.733850048,0.216502819,-0.124787298,1.693946208,0.182484136,1.236895867,0.72635589,0.496645364,0.079947201,-0.333095854,-0.238006213,0.323181141,-0.386975981,-0.238364149,-0.285814054,0.026226497,-2.34E-05
